17/02/2023 14:29:00:342  INFO - Node Entry | session id:sess4200099 | ElibraryFlows:Start | Framework | Start |  |  | 
17/02/2023 14:35:18:865  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:langMenu | Framework | langMenu |  |  | undefined
17/02/2023 14:35:21:498  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:LanguageAnnounce | Framework | LanguageAnnounce | langMenu___utterance | 2^0.949999988079071^0^0 | undefined
17/02/2023 14:35:21:575  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:userMenu | Framework | userMenu |  |  | undefined
17/02/2023 14:35:23:320  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:Exist | Framework | Exist | userMenu___utterance | 2^0.949999988079071^0^0 | undefined
17/02/2023 14:35:23:383  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:ExistUser-Begin | Framework | ExistUser-Begin |  |  | undefined
17/02/2023 14:35:23:445  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:ExistUser-userId | Framework | ExistUser-userId |  |  | undefined
17/02/2023 14:35:28:335  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:ExistUser-password | Framework | ExistUser-password | userId___utterance | 100000^0.949999988079071^0^0 | undefined
17/02/2023 14:35:32:278  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:ExistUser-passwordVerify | Framework | ExistUser-passwordVerify | password___utterance | 1111^0.949999988079071^0^0 | undefined
17/02/2023 14:35:32:944  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:ExistUser-passCheck | Framework | ExistUser-passCheck |  |  | undefined
17/02/2023 14:35:33:006  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:ExistUser-CartFlow | Framework | ExistUser-CartFlow |  |  | undefined
17/02/2023 14:35:33:068  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:CartMenuFlow-Begin | Framework | CartMenuFlow-Begin |  |  | undefined
17/02/2023 14:35:33:131  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:CartMenuFlow-CartMenu | Framework | CartMenuFlow-CartMenu |  |  | undefined
17/02/2023 14:35:36:837  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:hangupData | Framework | hangupData |  |  | undefined
17/02/2023 14:35:36:900  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:ivrInfoData | Framework | ivrInfoData |  |  | undefined
17/02/2023 14:35:37:071  INFO - Node Entry | session id:sess2399824 | ElibraryFlows:Exit | Framework | Exit |  |  | undefined
17/02/2023 14:35:37:071  INFO - End | session id:sess2399824 | ElibraryFlows:Exit | CallEnd | Call End here |  |  | undefined
17/02/2023 14:35:37:071  INFO - Application Exit | session id:sess2399824 | ElibraryFlows:Exit | Framework | Application Exiting |  |  | undefined
